t_s,mode,v_cmd_mps,omega_cmd_radps,delta_v_cmd_mps,v_left_est_mps,v_right_est_mps,rpm_front_left,rpm_rear_left,rpm_front_right,rpm_rear_right,epsilon_x_mm,epsilon_y_mm,theta_rad,curvature_inv_mm,confidence,e_x_m_filtered,theta_rad_filtered,de_x_f,dtheta_f,kappa_m,gamma,v_target_mps,omega_pp_radps,omega_pd_radps,omega_target_radps,delta_v_target_mps,error_age_s
1.9997990131378174,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.2927711009979248
2.01808500289917,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.3108534812927246
2.060624599456787,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.353379487991333
2.0894381999969482,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.3822503089904785
2.123056650161743,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.41585564613342285
2.1538243293762207,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.4466409683227539
0.016550779342651367,tracking_pure_pursuit_pd_video_logger,0.003654899597167969,0.0,0.0,0.003654899597167969,0.003654899597167969,1.0738990844194325,1.0738990844194325,1.0738990844194325,1.0738990844194325,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,-1.8809999999999998,-0.0,0.0963743952506698,-0.0,-0.0,0.0,0.0,0.47841405868530273
0.04616355895996094,tracking_pure_pursuit_pd_video_logger,0.007720355987548827,0.0,0.0,0.007720355987548827,0.007720355987548827,2.2684298175646282,2.2684298175646282,2.2684298175646282,2.2684298175646282,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,-1.8809999999999998,-0.0,0.0963743952506698,-0.0,-0.0,0.0,0.0,0.507988691329956
0.08154439926147461,tracking_pure_pursuit_pd_video_logger,0.011918048858642578,0.0,0.0,0.011918048858642578,0.011918048858642578,3.501814869902192,3.501814869902192,3.501814869902192,3.501814869902192,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,-1.8809999999999998,-0.0,0.0963743952506698,-0.0,-0.0,0.0,0.0,0.5434024333953857
0.11410212516784668,tracking_pure_pursuit_pd_video_logger,0.01585118293762207,0.0,0.0,0.01585118293762207,0.01585118293762207,4.657466064695008,4.657466064695008,4.657466064695008,4.657466064695008,-0.30000000000000004,120.0,-0.003,-0.0018809999999999999,1.0,0.0,0.0,0.0,0.0,-1.8809999999999998,-0.0,0.0963743952506698,-0.0,-0.0,0.0,0.0,0.5759356021881104
